ATP,Location,Tournament,Date,Series,Court,Surface,Round,RoundId,Best of,Winner,Loser,WRank,LRank,WPts,LPts,Wsets,Lsets,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5
40,London,Wimbledon,4/7/17,Grand Slam,Outdoor,Grass,1st Round,1,5,Federer R.,Dolgopolov O.,5,84,5265,631,1,0,6,3,3,0,,,,,,
40,London,Wimbledon,6/7/17,Grand Slam,Outdoor,Grass,2nd Round,2,5,Federer R.,Lajovic D.,5,79,5265,661,3,0,7,6,6,3,6,2,,,,
40,London,Wimbledon,8/7/17,Grand Slam,Outdoor,Grass,3rd Round,3,3,Federer R.,Zverev M.,5,30,5265,1396,3,0,7,6,6,4,6,4,,,,
40,London,Wimbledon,10/7/17,Grand Slam,Outdoor,Grass,4th Round,4,5,Federer R.,Dimitrov G.,5,11,5265,3070,3,0,6,4,6,2,6,4,,,,
40,London,Wimbledon,12/7/17,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Federer R.,Raonic M.,5,7,5265,4150,3,0,6,4,6,2,7,6,,,,
40,London,Wimbledon,14/07/17,Grand Slam,Outdoor,Grass,Semifinals,6,5,Federer R.,Berdych T.,5,15,5265,2570,3,0,7,6,7,6,6,4,,,,
40,London,Wimbledon,16/07/17,Grand Slam,Outdoor,Grass,The Final,7,5,Federer R.,Cilic M.,5,6,5265,4235,3,0,6,3,6,1,6,4,,,,
39,London,Wimbledon,28/06/16,Grand Slam,Outdoor,Grass,1st Round,1,5,Murray A.,Broady L.,2,235,8915,224,3,0,6,2,6,3,6,4,,,,
39,London,Wimbledon,30/06/16,Grand Slam,Outdoor,Grass,2nd Round,2,5,Murray A.,Lu Y.H.,2,76,8915,710,3,0,6,3,6,2,6,1,,,,
39,London,Wimbledon,2/7/16,Grand Slam,Outdoor,Grass,3rd Round,3,5,Murray A.,Millman J.,2,67,8915,770,3,0,6,3,7,5,6,2,,,,
39,London,Wimbledon,4/7/16,Grand Slam,Outdoor,Grass,4th Round,4,5,Murray A.,Kyrgios N.,2,18,8915,1855,3,0,7,5,6,1,6,4,,,,
39,London,Wimbledon,6/7/16,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Murray A.,Tsonga J.W.,2,12,8915,2725,3,2,7,6,6,1,3,6,4,6,6,1
39,London,Wimbledon,8/7/16,Grand Slam,Outdoor,Grass,Semifinals,6,5,Murray A.,Berdych T.,2,9,8915,2950,3,0,6,3,6,3,6,3,,,,
39,London,Wimbledon,10/7/16,Grand Slam,Outdoor,Grass,The Final,7,5,Murray A.,Raonic M.,2,7,8915,3175,3,0,6,4,7,6,7,6,,,,
39,London,Wimbledon,29/06/15,Grand Slam,Outdoor,Grass,1st Round,1,5,Djokovic N.,Kohlschreiber P.,1,33,13845,1195,3,0,6,4,6,4,6,4,,,,
39,London,Wimbledon,1/7/15,Grand Slam,Outdoor,Grass,2nd Round,2,5,Djokovic N.,Nieminen J.,1,92,13845,564,3,0,6,4,6,2,6,3,,,,
39,London,Wimbledon,3/7/15,Grand Slam,Outdoor,Grass,3rd Round,3,5,Djokovic N.,Tomic B.,1,26,13845,1355,3,0,6,3,6,3,6,3,,,,
39,London,Wimbledon,7/7/15,Grand Slam,Outdoor,Grass,4th Round,4,5,Djokovic N.,Anderson K.,1,14,13845,2090,3,2,6,7,6,7,6,1,6,4,7,5
39,London,Wimbledon,8/7/15,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Djokovic N.,Cilic M.,1,9,13845,3540,3,0,6,4,6,4,6,4,,,,
39,London,Wimbledon,10/7/15,Grand Slam,Outdoor,Grass,Semifinals,6,5,Djokovic N.,Gasquet R.,1,20,13845,1610,3,0,7,6,6,4,6,4,,,,
39,London,Wimbledon,12/7/15,Grand Slam,Outdoor,Grass,The Final,7,5,Djokovic N.,Federer R.,1,2,13845,9665,3,1,7,6,6,7,6,4,6,3,,
37,London,Wimbledon,23/06/14,Grand Slam,Outdoor,Grass,1st Round,1,5,Djokovic N.,Golubev A.,2,56,12330,852,3,0,6,0,6,1,6,4,,,,
37,London,Wimbledon,25/06/14,Grand Slam,Outdoor,Grass,2nd Round,2,5,Djokovic N.,Stepanek R.,2,38,12330,1085,3,1,6,4,6,3,6,7,7,6,,
37,London,Wimbledon,27/06/14,Grand Slam,Outdoor,Grass,3rd Round,3,5,Djokovic N.,Simon G.,2,44,12330,1005,3,0,6,4,6,2,6,4,,,,
37,London,Wimbledon,30/06/14,Grand Slam,Outdoor,Grass,4th Round,4,5,Djokovic N.,Tsonga J.W.,2,17,12330,1775,3,0,6,3,6,4,7,6,,,,
37,London,Wimbledon,2/7/14,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Djokovic N.,Cilic M.,2,29,12330,1350,3,2,6,1,3,6,6,7,6,2,6,2
37,London,Wimbledon,4/7/14,Grand Slam,Outdoor,Grass,Semifinals,6,5,Djokovic N.,Dimitrov G.,2,13,12330,2595,3,1,6,4,3,6,7,6,7,6,,
37,London,Wimbledon,6/7/14,Grand Slam,Outdoor,Grass,The Final,7,5,Djokovic N.,Federer R.,2,4,12330,4945,3,2,6,7,6,4,7,6,5,7,6,4
37,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,1,5,Murray A.,Becker B.,2,92,8560,570,3,0,6,4,6,3,6,2,,,,
37,London,Wimbledon,26/06/13,Grand Slam,Outdoor,Grass,2nd Round,2,5,Murray A.,Lu Y.H.,2,75,8560,683,3,0,6,3,6,3,7,5,,,,
37,London,Wimbledon,28/06/13,Grand Slam,Outdoor,Grass,3rd Round,3,5,Murray A.,Robredo T.,2,29,8560,1355,3,0,6,2,6,4,7,5,,,,
37,London,Wimbledon,1/7/13,Grand Slam,Outdoor,Grass,4th Round,4,5,Murray A.,Youzhny M.,2,26,8560,1415,3,0,6,4,7,6,6,1,,,,
37,London,Wimbledon,3/7/13,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Murray A.,Verdasco F.,2,54,8560,825,3,2,4,6,3,6,6,1,6,4,7,5
37,London,Wimbledon,5/7/13,Grand Slam,Outdoor,Grass,Semifinals,6,5,Murray A.,Janowicz J.,2,22,8560,1549,3,1,6,7,6,4,6,4,6,3,,
37,London,Wimbledon,7/7/13,Grand Slam,Outdoor,Grass,The Final,7,5,Murray A.,Djokovic N.,2,1,8560,11830,3,0,6,4,7,5,6,4,,,,
37,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,1,5,Federer R.,Ramos A.,3,43,9435,935,3,0,6,1,6,1,6,1,,,,
37,London,Wimbledon,27/06/12,Grand Slam,Outdoor,Grass,2nd Round,2,5,Federer R.,Fognini F.,3,68,9435,695,3,0,6,1,6,3,6,2,,,,
37,London,Wimbledon,29/06/12,Grand Slam,Outdoor,Grass,3rd Round,3,5,Federer R.,Benneteau J.,3,32,9435,1210,3,2,4,6,6,7,6,2,7,6,6,1
37,London,Wimbledon,2/7/12,Grand Slam,Outdoor,Grass,4th Round,4,5,Federer R.,Malisse X.,3,75,9435,651,3,1,7,6,6,1,4,6,6,3,,
37,London,Wimbledon,4/7/12,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Federer R.,Youzhny M.,3,33,9435,1210,3,0,6,1,6,2,6,2,,,,
37,London,Wimbledon,6/7/12,Grand Slam,Outdoor,Grass,Semifinals,6,5,Federer R.,Djokovic N.,3,1,9435,12280,3,1,6,3,3,6,6,4,6,3,,
37,London,Wimbledon,8/7/12,Grand Slam,Outdoor,Grass,The Final,7,5,Federer R.,Murray A.,3,4,9435,6980,3,1,4,6,7,5,6,3,6,4,,
36,London,Wimbledon,21/06/11,Grand Slam,Outdoor,Grass,1st Round,1,5,Djokovic N.,Chardy J.,2,54,12005,930,3,0,6,4,6,1,6,1,,,,
36,London,Wimbledon,23/06/11,Grand Slam,Outdoor,Grass,2nd Round,2,5,Djokovic N.,Anderson K.,2,36,12005,1185,3,0,6,3,6,4,6,2,,,,
36,London,Wimbledon,25/06/11,Grand Slam,Outdoor,Grass,3rd Round,3,5,Djokovic N.,Baghdatis M.,2,30,12005,1295,3,1,6,4,4,6,6,3,6,4,,
36,London,Wimbledon,27/06/11,Grand Slam,Outdoor,Grass,4th Round,4,5,Djokovic N.,Llodra M.,2,35,12005,1195,3,0,6,3,6,3,6,3,,,,
36,London,Wimbledon,29/06/11,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Djokovic N.,Tomic B.,2,158,12005,357,3,1,6,2,3,6,6,3,7,5,,
36,London,Wimbledon,1/7/11,Grand Slam,Outdoor,Grass,Semifinals,6,5,Djokovic N.,Tsonga J.W.,2,19,12005,1585,3,1,7,6,6,2,6,7,6,3,,
36,London,Wimbledon,2/7/11,Grand Slam,Outdoor,Grass,The Final,7,5,Djokovic N.,Nadal R.,2,1,12005,12070,3,1,6,4,6,1,1,6,6,3,,
36,London,Wimbledon,22/06/10,Grand Slam,Outdoor,Grass,1st Round,1,5,Nadal R.,Nishikori K.,1,189,8745,247,3,0,6,2,6,4,6,4,,,,
36,London,Wimbledon,24/06/10,Grand Slam,Outdoor,Grass,2nd Round,2,5,Nadal R.,Haase R.,1,151,8745,330,3,2,5,7,6,2,3,6,6,0,6,3
36,London,Wimbledon,26/06/10,Grand Slam,Outdoor,Grass,3rd Round,3,5,Nadal R.,Petzschner P.,1,41,8745,1055,3,2,6,4,4,6,6,7,6,2,6,3
36,London,Wimbledon,28/06/10,Grand Slam,Outdoor,Grass,4th Round,4,5,Nadal R.,Mathieu P.H.,1,66,8745,740,3,0,6,4,6,2,6,2,,,,
36,London,Wimbledon,30/06/10,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Nadal R.,Soderling R.,1,6,8745,4755,3,1,3,6,6,3,7,6,6,1,,
36,London,Wimbledon,2/7/10,Grand Slam,Outdoor,Grass,Semifinals,6,5,Nadal R.,Murray A.,1,4,8745,5155,3,0,6,4,7,6,6,4,,,,
36,London,Wimbledon,4/7/10,Grand Slam,Outdoor,Grass,The Final,7,5,Nadal R.,Berdych T.,1,13,8745,2825,3,0,6,3,7,5,6,4,,,,
36,London,Wimbledon,22/06/09,Grand Slam,Outdoor,Grass,1st Round,1,5,Federer R.,Lu Y.H.,2,65,10620,932,3,0,7,5,6,3,6,2,,,,
36,London,Wimbledon,24/06/09,Grand Slam,Outdoor,Grass,2nd Round,2,5,Federer R.,Garcia-Lopez G.,2,42,10620,1186,3,0,6,2,6,2,6,4,,,,
36,London,Wimbledon,26/06/09,Grand Slam,Outdoor,Grass,3rd Round,3,5,Federer R.,Kohlschreiber P.,2,32,10620,1540,3,1,6,3,6,2,6,7,6,1,,
36,London,Wimbledon,29/06/09,Grand Slam,Outdoor,Grass,4th Round,4,5,Federer R.,Soderling R.,2,12,10620,2825,3,0,6,4,7,6,7,6,,,,
36,London,Wimbledon,1/7/09,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Federer R.,Karlovic I.,2,36,10620,1295,3,0,6,3,7,5,7,6,,,,
36,London,Wimbledon,3/7/09,Grand Slam,Outdoor,Grass,Semifinals,6,5,Federer R.,Haas T.,2,34,10620,1405,3,0,7,6,7,5,6,3,,,,
36,London,Wimbledon,5/7/09,Grand Slam,Outdoor,Grass,The Final,7,5,Federer R.,Roddick A.,2,6,10620,4310,3,2,5,6,7,6,7,6,3,6,16,14
37,London,Wimbledon,24/06/08,Grand Slam,Outdoor,Grass,1st Round,1,5,Nadal R.,Beck A.,2,122,5755,386,3,0,6,4,6,4,7,6,,,,
37,London,Wimbledon,26/06/08,Grand Slam,Outdoor,Grass,2nd Round,2,5,Nadal R.,Gulbis E.,2,48,5755,747,3,1,5,7,6,2,7,6,6,3,,
37,London,Wimbledon,28/06/08,Grand Slam,Outdoor,Grass,3rd Round,3,3,Nadal R.,Kiefer N.,2,32,5755,970,3,0,7,6,6,2,6,3,,,,
37,London,Wimbledon,30/06/08,Grand Slam,Outdoor,Grass,4th Round,4,5,Nadal R.,Youzhny M.,2,17,5755,1305,3,0,6,3,6,3,6,1,,,,
37,London,Wimbledon,2/7/08,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Nadal R.,Murray A.,2,11,5755,1555,3,0,6,3,6,2,6,4,,,,
37,London,Wimbledon,4/7/08,Grand Slam,Outdoor,Grass,Semifinals,6,5,Nadal R.,Schuettler R.,2,94,5755,472,3,0,6,1,7,6,6,4,,,,
37,London,Wimbledon,6/7/08,Grand Slam,Outdoor,Grass,The Final,7,5,Nadal R.,Federer R.,2,1,5755,6900,3,2,6,4,6,4,6,7,6,7,9,7
36,London,Wimbledon,6/25/07,Grand Slam,Outdoor,Grass,1st Round,1,5,Federer R.,Gabashvili T.,1,86,7290,486,3,0,6,3,6,2,6,4,,,,
36,London,Wimbledon,6/28/07,Grand Slam,Outdoor,Grass,2nd Round,2,5,Federer R.,Del Potro J.M.,1,56,7290,619,3,0,6,2,7,5,6,1,,,,
36,London,Wimbledon,6/29/07,Grand Slam,Outdoor,Grass,3rd Round,3,5,Federer R.,Safin M.,1,24,7290,1125,3,0,6,1,6,4,7,6,,,,
36,London,Wimbledon,2/7/07,Grand Slam,Outdoor,Grass,4th Round,4,5,Federer R.,Haas T.,1,10,7290,1960,0,0,,,,,,,,,,
36,London,Wimbledon,6/7/07,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Federer R.,Ferrero J.C.,1,18,7290,1330,3,1,7,6,3,6,6,1,6,3,,
36,London,Wimbledon,7/7/07,Grand Slam,Outdoor,Grass,Semifinals,6,5,Federer R.,Gasquet R.,1,14,7290,1775,3,0,7,5,6,3,6,4,,,,
36,London,Wimbledon,8/7/07,Grand Slam,Outdoor,Grass,The Final,7,5,Federer R.,Nadal R.,1,2,7290,5225,3,2,7,6,4,6,7,6,2,6,6,2
36,London,Wimbledon,27/06/06,Grand Slam,Outdoor,Grass,1st Round,1,5,Federer R.,Gasquet R.,1,50,7260,760,3,0,6,3,6,2,6,2,,,,
36,London,Wimbledon,28/06/06,Grand Slam,Outdoor,Grass,2nd Round,2,5,Federer R.,Henman T.,1,64,7260,615,3,0,6,4,6,0,6,2,,,,
36,London,Wimbledon,30/06/06,Grand Slam,Outdoor,Grass,3rd Round,3,5,Federer R.,Mahut N.,1,77,7260,530,3,0,6,3,7,6,6,4,,,,
36,London,Wimbledon,3/7/06,Grand Slam,Outdoor,Grass,4th Round,4,5,Federer R.,Berdych T.,1,14,7260,1635,3,0,6,3,6,3,6,4,,,,
36,London,Wimbledon,5/7/06,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Federer R.,Ancic M.,1,10,7260,1885,3,0,6,4,6,4,6,4,,,,
36,London,Wimbledon,7/7/06,Grand Slam,Outdoor,Grass,Semifinals,6,5,Federer R.,Bjorkman J.,1,59,7260,638,3,0,6,2,6,0,6,2,,,,
36,London,Wimbledon,9/7/06,Grand Slam,Outdoor,Grass,The Final,7,5,Federer R.,Nadal R.,1,2,7260,4545,3,1,6,0,7,6,6,7,6,3,,
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,1,5,Federer R.,Mathieu P.,1,58,,,3,0,6,4,6,2,6,4,,,,
36,London,Wimbledon,22/06/05,Grand Slam,Outdoor,Grass,2nd Round,2,5,Federer R.,Minar I.,1,99,,,3,0,6,4,6,4,6,1,,,,
36,London,Wimbledon,25/06/05,Grand Slam,Outdoor,Grass,3rd Round,3,5,Federer R.,Kiefer N.,1,26,,,3,1,6,2,6,7,6,1,7,5,,
36,London,Wimbledon,27/06/05,Grand Slam,Outdoor,Grass,4th Round,4,5,Federer R.,Ferrero J.C.,1,31,,,3,0,6,3,6,4,7,6,,,,
36,London,Wimbledon,29/06/05,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Federer R.,Gonzalez F.,1,24,,,3,0,7,5,6,2,7,6,,,,
36,London,Wimbledon,1/7/05,Grand Slam,Outdoor,Grass,Semifinals,6,5,Federer R.,Hewitt L.,1,2,,,3,0,6,3,6,4,7,6,,,,
36,London,Wimbledon,3/7/05,Grand Slam,Outdoor,Grass,The Final,7,5,Federer R.,Roddick A.,1,4,,,3,0,6,2,7,6,6,4,,,,
35,London,Wimbledon,21/06/04,Grand Slam,Outdoor,Grass,1st Round,1,5,Federer R.,Bogdanovic A.,1,295,,,3,0,6,3,6,3,6,0,,,,
35,London,Wimbledon,24/06/04,Grand Slam,Outdoor,Grass,2nd Round,2,5,Federer R.,Falla A.,1,138,,,3,0,6,1,6,2,6,0,,,,
35,London,Wimbledon,27/06/04,Grand Slam,Outdoor,Grass,3rd Round,3,5,Federer R.,Johansson T.,1,123,,,3,0,6,3,6,4,6,3,,,,
35,London,Wimbledon,28/06/04,Grand Slam,Outdoor,Grass,4th Round,4,5,Federer R.,Karlovic I.,1,62,,,3,0,6,3,7,6,7,6,,,,
35,London,Wimbledon,30/06/04,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Federer R.,Hewitt L.,1,10,,,3,1,6,1,6,7,6,0,6,4,,
35,London,Wimbledon,2/7/04,Grand Slam,Outdoor,Grass,Semifinals,6,5,Federer R.,Grosjean S.,1,13,,,3,0,6,2,6,3,7,6,,,,
35,London,Wimbledon,4/7/04,Grand Slam,Outdoor,Grass,The Final,7,5,Federer R.,Roddick A.,1,2,,,3,1,4,6,7,5,7,6,6,4,,
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,1,5,Federer R.,Lee H.T.,5,55,,,3,0,6,3,6,3,7,6,,,,
36,London,Wimbledon,25/06/03,Grand Slam,Outdoor,Grass,2nd Round,2,5,Federer R.,Koubek S.,5,70,,,3,0,7,5,6,1,6,1,,,,
36,London,Wimbledon,27/06/03,Grand Slam,Outdoor,Grass,3rd Round,3,5,Federer R.,Fish M.,5,45,,,3,1,6,3,6,1,4,6,6,1,,
36,London,Wimbledon,30/06/03,Grand Slam,Outdoor,Grass,4th Round,4,5,Federer R.,Lopez F.,5,52,,,3,0,7,6,6,4,6,4,,,,
36,London,Wimbledon,3/7/03,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Federer R.,Schalken S.,5,12,,,3,0,6,3,6,4,6,4,,,,
36,London,Wimbledon,4/7/03,Grand Slam,Outdoor,Grass,Semifinals,6,5,Federer R.,Roddick A.,5,6,,,3,0,7,6,6,3,6,3,,,,
36,London,Wimbledon,6/7/03,Grand Slam,Outdoor,Grass,The Final,7,5,Federer R.,Philippoussis M.,5,48,,,3,0,7,6,6,2,7,6,,,,
36,London,Wimbledon,24/06/02,Grand Slam,Outdoor,Grass,1st Round,1,5,Hewitt L.,Bjorkman J.,1,47,,,3,0,6,4,7,5,6,1,,,,
36,London,Wimbledon,24/06/02,Grand Slam,Outdoor,Grass,2nd Round,2,5,Hewitt L.,Carraz G.,1,168,,,3,0,6,4,7,6,6,2,,,,
36,London,Wimbledon,24/06/02,Grand Slam,Outdoor,Grass,3rd Round,3,5,Hewitt L.,Knowle J.,1,95,,,3,0,6,2,6,1,6,3,,,,
36,London,Wimbledon,24/06/02,Grand Slam,Outdoor,Grass,4th Round,4,5,Hewitt L.,Youzhny M.,1,61,,,3,0,6,3,6,3,7,5,,,,
36,London,Wimbledon,24/06/02,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Hewitt L.,Schalken S.,1,23,,,3,2,6,2,6,2,6,7,1,6,7,5
36,London,Wimbledon,24/06/02,Grand Slam,Outdoor,Grass,Semifinals,6,5,Hewitt L.,Henman T.,1,5,,,3,0,7,5,6,1,7,5,,,,
36,London,Wimbledon,24/06/02,Grand Slam,Outdoor,Grass,The Final,7,5,Hewitt L.,Nalbandian D.,1,32,,,3,0,6,1,6,3,6,2,,,,
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,1,5,Ivanisevic G.,Jonsson F.,125,197,,,3,0,6,4,6,4,6,4,,,,
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,2nd Round,2,5,Ivanisevic G.,Moya C.,125,22,,,3,1,6,7,6,3,6,4,6,4,,
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,3rd Round,3,5,Ivanisevic G.,Roddick A.,125,33,,,3,1,7,6,7,5,3,6,6,3,,
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,4th Round,4,5,Ivanisevic G.,Rusedski G.,125,40,,,3,0,7,6,6,4,6,4,,,,
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Ivanisevic G.,Safin M.,125,3,,,3,1,7,6,7,5,3,6,7,6,,
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,Semifinals,6,5,Ivanisevic G.,Henman T.,125,11,,,3,2,7,5,6,7,0,6,7,6,6,3
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,The Final,7,5,Ivanisevic G.,Rafter P.,125,10,,,3,2,6,3,3,6,6,3,2,6,9,7
